filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,root_ttr_aw,root_ttr_cw,log_ttr_aw,log_ttr_cw,maas_ttr_aw,maas_ttr_cw,mattr50_aw,mattr50_cw,msttr50_aw,msttr50_cw,hdd42_aw,hdd42_cw,mtld_original_aw,mtld_original_cw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_wrap_aw,mtld_ma_wrap_cw
W_THA_152.txt,435,158,195,102,240,56,0.6455696202531646,0.4482758620689655,0.3632183908045977,0.5230769230769231,7.575520163469069,7.304371715202215,0.8333015119008398,0.8771047222586941,0.06317952125814785,0.053665249045378456,0.7005699481865285,0.7035616438356167,0.7150000000000001,0.6666666666666666,0.780026850275087,0.8005564143408852,43.025109170305676,39.484813623380745,42.39757561852319,34.213314335185046,43.763218390804596,34.76923076923077
W_JPN_164.txt,415,138,197,85,218,53,0.6159420289855072,0.4746987951807229,0.3325301204819277,0.43147208121827413,6.774153572698661,6.05599924897232,0.8173566746495718,0.8409009920106835,0.06976316652845417,0.06934031374062669,0.6820765027322405,0.6214864864864867,0.675,0.6,0.7590954414707741,0.7422862894422734,40.33426966292135,23.388805220883533,40.3021787361842,25.930364385399034,40.34939759036145,26.766497461928935
W_JPN_170.txt,427,164,201,97,226,67,0.5914634146341463,0.4707259953161593,0.3840749414519906,0.48258706467661694,7.936516263331567,6.8418524738284034,0.8420089632857268,0.8626151160103017,0.06006286589886831,0.05964966966102106,0.708624338624338,0.7030263157894738,0.725,0.665,0.8082413331662093,0.7822348926399845,45.49602807453776,39.41769080447291,43.29490616621984,35.31723504186236,48.00936768149883,36.54726368159204
W_CHN_022.txt,416,177,196,117,220,60,0.6610169491525424,0.47115384615384615,0.4254807692307692,0.5969387755102041,8.678138979864643,8.357142857142858,0.8583020849523801,0.90224904956726,0.05410189602281636,0.04264399237686148,0.7747683923705735,0.7702040816326537,0.765,0.7533333333333334,0.8123668389353375,0.8418002121394923,64.38095238095238,66.86304128902316,64.28798943858123,65.12323943661971,65.1875,72.16836734693878
W_SIN_010.txt,474,211,200,136,274,75,0.6445497630331753,0.4219409282700422,0.4451476793248945,0.68,9.691550976884596,9.616652224137045,0.8686378909261665,0.9272103850843401,0.049093045947762474,0.031633492415493646,0.7764235294117638,0.8105960264900662,0.7755555555555556,0.81,0.8168536134545976,0.8842031987152532,65.68448098663926,114.18424517037627,64.9907652343843,92.28912728708701,67.79746835443038,123.99
W_JPN_366.txt,407,166,190,110,217,56,0.6626506024096386,0.4668304668304668,0.40786240786240785,0.5789473684210527,8.22831451180372,7.980238751210129,0.8507483309251869,0.8958373929961735,0.05719343532741757,0.045710342250374215,0.7452513966480451,0.7607092198581556,0.7325000000000002,0.7533333333333333,0.8183285114515654,0.8404910145049742,53.51682638734121,60.240885416666664,52.19432663447736,48.48402457757297,51.466830466830466,51.40526315789474
W_THA_378.txt,417,123,213,79,204,44,0.6422764227642277,0.5107913669064749,0.2949640287769784,0.37089201877934275,6.023335914555019,5.412990807637501,0.7976322861067342,0.8149990184108612,0.07723557465999324,0.0794548197020428,0.653858695652174,0.5689024390243902,0.6524999999999999,0.5499999999999999,0.7510840754164742,0.7044422265245974,38.73019992386353,22.39015748031496,32.44445825307069,23.195144638926735,34.465227817745806,24.830985915492956
W_JPN_400.txt,489,146,220,79,269,67,0.541095890410959,0.4498977505112474,0.2985685071574642,0.35909090909090907,6.602348222033565,5.3261789134596125,0.8047989164360045,0.8101130111258833,0.07258410758651451,0.08106435718401815,0.7173636363636369,0.6044444444444447,0.7111111111111111,0.61,0.782863906797406,0.7214985347888043,43.31351502706739,23.22222222222222,46.78091635022139,25.338444233956903,46.5439672801636,26.463636363636365
W_THA_393.txt,487,145,228,93,259,52,0.6413793103448275,0.4681724845995893,0.29774127310061604,0.40789473684210525,6.570577189226935,6.159075460352454,0.8042212878175422,0.8348334777180364,0.07284710788529518,0.07004711028893489,0.7045662100456629,0.6556424581005588,0.7088888888888889,0.65,0.7744129158320194,0.7446655616916613,47.244177611006876,37.93181214000886,45.19112297004098,31.620973253210792,48.2299794661191,34.19298245614035
W_THA_230.txt,423,126,211,77,212,49,0.6111111111111112,0.4988179669030733,0.2978723404255319,0.36492890995260663,6.126329642911571,5.300898609325659,0.7997328035653002,0.8116443510867793,0.07625332912765667,0.08103819244683677,0.6565240641711221,0.5491358024691355,0.6475,0.545,0.7620197237568836,0.6968209657760411,39.31445865692097,21.483378196500674,36.68508602028028,21.27280612244898,37.46572104018912,21.33649289099526
W_JPN_206.txt,429,115,191,74,238,41,0.6434782608695652,0.44522144522144524,0.2680652680652681,0.387434554973822,5.5522523202305765,5.35445207916392,0.7828039020695379,0.8194670654846109,0.08250697877427184,0.079145240533337,0.6418421052631561,0.6121126760563381,0.64,0.62,0.7105488929915393,0.6989736737874263,33.57620061967467,23.138412318284722,33.8143821917288,25.77516095125476,34.5011655011655,26.32460732984293
W_PHL_069.txt,420,154,178,93,242,61,0.6038961038961039,0.4238095238095238,0.36666666666666664,0.5224719101123596,7.514430561703706,6.970644707661511,0.8338973839976357,0.8747180288720788,0.0633194171100565,0.05567048417601331,0.7397843665768186,0.7009302325581399,0.7375,0.6666666666666666,0.7879419198672523,0.7888560426910861,50.42016929705429,40.399129161032775,49.90278683535499,40.18184188074699,50.916666666666664,43.651685393258425
